No,Effect ID,Effect Name,Sector,Category,Keywords,Runtime,Light Mode,Dark Mode,Best For,Forbidden Gimmicks,Description,CLI Command
1,education-codex,Interactive 3D Open Codex,Education,Domain Stage,"education, school, academy, university, codex, book, manuscript, curriculum",Three.js r128,"Warm Ivory vellum folios with carbon ink calligraphy and gold leaf ribbon","Midnight calfskin cover with luminous terracotta folios and golden dust","Universities, classical academies, research schools, online fellowships","Astronomy planets, sci-fi nebulas, floating spaceships, cartoon graduation caps","Interactive 3D open book of knowledge with curved turning parchment leaves, hardbound linen cover, and academic folios","python bc_design.py --spatial school-spatial"
2,erp-pipeline,Modular Enterprise Supply-Chain Hub,Enterprise ERP,Domain Stage,"erp, enterprise, supply chain, procurement, inventory, logistics, general ledger, operations",Three.js r128,"Warm stoneware modular cubes with terracotta data pipelines and charcoal telemetry","Obsidian monolith blocks with glowing amber pulse conduits and illuminated status nodes","Enterprise resource planning, multi-division manufacturing, supply-chain monitoring","Spinning globe wireframes with random fireworks, floating pie charts, generic particle clouds","3D interlocking modular cubes representing enterprise divisions with synchronized real-time data conduits","python bc_design.py --spatial erp-spatial"
3,hrm-topology,Dynamic Talent Topology Tree,HRM,Domain Stage,"hrm, human resources, people ops, talent, organization, hierarchy, team, workforce",Three.js r128,"Warm bone nodes with terracotta team cluster conduits and sepia labels","Warm obsidian nodes with glowing amber talent links and role cluster rings","Human capital management, organization charts, team directory, talent mobility","Cartoon floating avatar heads, stock photo circles, bouncy balloon trees","Hierarchical 3D talent constellation displaying organizational structure, team cluster orbits, and career progression vectors","python bc_design.py --spatial hrm-spatial"
4,fintech-yield,Volumetric Yield Curve & Settlement Lattice,Fintech / Crypto,Domain Stage,"fintech, crypto, banking, yield curve, liquidity, orderbook, ledger, settlement, trading",Three.js / Canvas,"Parchment orderbook surface with terracotta liquidity waves and brushed bronze ingots","Deep obsidian orderbook depth terrain with glowing amber yield ribbons and cryptographic blocks","Digital banking, wealth management, treasury platforms, crypto settlement exchanges","Cartoon golden coins spinning, neon dollar signs, arcade slot machine effects, pixel rocket emojis","3D volumetric liquidity terrain and cryptographic settlement block lattice with micro-basis-point deflection","python bc_design.py --spatial finance-spatial"
5,healthcare-pulse,Vitality Waveform & Cellular Osmosis Mesh,Healthcare,Domain Stage,"health, healthcare, medical, clinic, hospital, vitality, pulse, cellular, biology",Raw WebGL,"Clinical warm matte ceramic ground with terracotta cardiovascular pulse ribbon","Charcoal obsidian ground with bioluminescent amber heartbeat conduit and fluid cellular nodes","Medical clinic portals, patient health monitors, biotech diagnostic tools, clinical trials","Flying cartoon stethoscopes, spinning pills, neon cross symbols, red-cross ambulance sirens","Procedural biocompatible vitality waveform traversing an organic cellular membrane lattice with calm laminar flow","python bc_design.py --spatial health-spatial"
6,pet-collar,Fauna Biometric Collar & Pulse Arc,Pet Services,Domain Stage,"pet, veterinary, animal, clinic, fauna, canine, feline, biometrics",Three.js / Canvas,"Warm biscuit ceramic surface with soft terracotta pulse ring and bone telemetry","Dark espresso ground with glowing amber biometric arc and calm companion heartbeat","Veterinary clinic portals, pet health monitoring, animal adoption platforms, grooming studios","Cartoon bouncing dog bones, spinning paw-print stamps, barking emoji cutouts","Tactile 3D biometric collar ring with calm vital rhythm waveforms and companion anatomical curvature","python bc_design.py --spatial pet-spatial"
7,saas-monolith,Unified Metric Command Engine Monolith,SaaS,Domain Stage,"saas, cloud, b2b, software, platform, analytics, metrics, telemetry",Three.js r128,"Brushed titanium plinth with engraved terracotta metric conduits on warm bone paper","Charcoal obsidian extrusion monolith with luminous amber pipeline trenches and laser hairlines","B2B SaaS homepages, operations dashboards, analytics suites, cloud control planes","Generic purple floating cards, cartoon cloud clipart with lightning, neon gradient blobs","Precision 3D telemetry extrusion monolith featuring recessed metric conduits and real-time state lights","python bc_design.py --spatial saas-spatial"
8,ai-tensor,Latent Tensor Field & Attention Convergence,AI / Chatbot,Domain Stage,"ai, artificial intelligence, llm, chatbot, attention, tensor, reasoning, cognitive",Raw WebGL,"Ivory parchment with terracotta cognitive streamlines and discrete charcoal dot matrix","Obsidian ground with blazing cinnabar attention arcs converging into a quiet reasoning singularity","AI product heroes, generative model orchestrators, intelligent reasoning sidecars","Glowing cyborg skulls, glowing robot eyeballs, neon brain clipart, sci-fi cybernetic lasers","High-dimensional dynamic dot-matrix raster modulated by parabolic attention arcs converging into a stable core","python bc_design.py --spatial ai-spatial"
9,ecommerce-pedestal,Spatial Product Pedestal & Assembly,E-commerce,Domain Stage,"ecommerce, retail, shop, store, product, pedestal, material, 3d showcase",Three.js r128,"Warm travertine stone pedestal with directional daylight and micro-shadows","Obsidian matte turntable with warm amber rim lighting and tactile leather/metal reflections","Luxury retail, artisanal goods, premium physical products, furniture monographs","Spinning shopping carts, floating gift boxes with ribbons, flashing discount starbursts","Interactive 360-degree material plinth with smooth exploded packaging inspection and dynamic lighting","python bc_design.py --spatial ecommerce-spatial"
10,realestate-bim,Volumetric Architectural BIM Massing,Real Estate,Domain Stage,"real estate, architecture, property, building, bim, floorplate, spatial, structural",Three.js r128,"Architectural bond paper with terracotta structural lines and soft cast shadows","Charcoal blueprint substrate with glowing brass perimeter wireframes and sunpath arc","Property developments, architecture firms, commercial leasing, residential masterplans","Cartoon house roofs with chimney smoke, spinning real-estate keys, dollar-sign house icons","Volumetric architectural massing with exploded isometric floorplate strata and seasonal sunpath shadow modeling","python bc_design.py --spatial realestate-spatial"
